Date,Sd Cd,Sd Nm,Sgg Cd,Sgg Nm,Title,Category1,Value,Unit
2019-12-01,00,전국,00000,전국,고령인구비율,65세이상인구,8026915,명
2019-12-01,00,전국,00000,전국,고령인구비율,고령인구비율,15.4810733243817,%
2019-12-01,00,전국,00000,전국,고령인구비율,전체인구,51849861,명
2019-12-01,11,서울특별시,11000,전체,고령인구비율,65세이상인구,1478664,명
2019-12-01,11,서울특별시,11000,전체,고령인구비율,고령인구비율,15.1983527367928,%
2019-12-01,11,서울특별시,11000,전체,고령인구비율,전체인구,9729107,명
2019-12-01,11,서울특별시,11110,종로구,고령인구비율,65세이상인구,27318,명
2019-12-01,11,서울특별시,11110,종로구,고령인구비율,고령인구비율,18.0567122744398,%
2019-12-01,11,서울특별시,11110,종로구,고령인구비율,전체인구,151290,명
2019-12-01,11,서울특별시,11140,중구,고령인구비율,65세이상인구,22974,명
2019-12-01,11,서울특별시,11140,중구,고령인구비율,고령인구비율,18.2086216325463,%
2019-12-01,11,서울특별시,11140,중구,고령인구비율,전체인구,126171,명
2019-12-01,11,서울특별시,11170,용산구,고령인구비율,65세이상인구,38346,명
2019-12-01,11,서울특별시,11170,용산구,고령인구비율,고령인구비율,16.7691433069489,%
2019-12-01,11,서울특별시,11170,용산구,고령인구비율,전체인구,228670,명
2019-12-01,11,서울특별시,11200,성동구,고령인구비율,65세이상인구,43796,명
2019-12-01,11,서울특별시,11200,성동구,고령인구비율,고령인구비율,14.5555337682667,%
2019-12-01,11,서울특별시,11200,성동구,고령인구비율,전체인구,300889,명
2019-12-01,11,서울특별시,11215,광진구,고령인구비율,65세이상인구,47681,명
2019-12-01,11,서울특별시,11215,광진구,고령인구비율,고령인구비율,13.5707983492244,%
2019-12-01,11,서울특별시,11215,광진구,고령인구비율,전체인구,351350,명
2019-12-01,11,서울특별시,11230,동대문구,고령인구비율,65세이상인구,59170,명
2019-12-01,11,서울특별시,11230,동대문구,고령인구비율,고령인구비율,17.0915729330953,%
2019-12-01,11,서울특별시,11230,동대문구,고령인구비율,전체인구,346194,명
2019-12-01,11,서울특별시,11260,중랑구,고령인구비율,65세이상인구,65065,명
2019-12-01,11,서울특별시,11260,중랑구,고령인구비율,고령인구비율,16.3885495510245,%
2019-12-01,11,서울특별시,11260,중랑구,고령인구비율,전체인구,397015,명
2019-12-01,11,서울특별시,11290,성북구,고령인구비율,65세이상인구,70699,명
2019-12-01,11,서울특별시,11290,성북구,고령인구비율,고령인구비율,15.9717609849768,%
2019-12-01,11,서울특별시,11290,성북구,고령인구비율,전체인구,442650,명
2019-12-01,11,서울특별시,11305,강북구,고령인구비율,65세이상인구,60474,명
2019-12-01,11,서울특별시,11305,강북구,고령인구비율,고령인구비율,19.2620574988693,%
2019-12-01,11,서울특별시,11305,강북구,고령인구비율,전체인구,313954,명
2019-12-01,11,서울특별시,11320,도봉구,고령인구비율,65세이상인구,58664,명
2019-12-01,11,서울특별시,11320,도봉구,고령인구비율,고령인구비율,17.5976865989525,%
2019-12-01,11,서울특별시,11320,도봉구,고령인구비율,전체인구,333362,명
2019-12-01,11,서울특별시,11350,노원구,고령인구비율,65세이상인구,80854,명
2019-12-01,11,서울특별시,11350,노원구,고령인구비율,고령인구비율,15.1723102616789,%
2019-12-01,11,서울특별시,11350,노원구,고령인구비율,전체인구,532905,명
2019-12-01,11,서울특별시,11380,은평구,고령인구비율,65세이상인구,80567,명
2019-12-01,11,서울특별시,11380,은평구,고령인구비율,고령인구비율,16.7836727551497,%
